"sub","ses","task","datatype","trial_n","cold_t","warm_t","burn_yn","temp_cw"
"2","1","fast","beh",90,21,45.4000015258789,0,1
"2","1","fast","beh",91,27,45.7000007629395,1,1
"2","1","fast","beh",92,18,47.7999992370605,1,0
"2","1","fast","beh",93,15,47.5999984741211,1,0
"2","1","fast","beh",94,0,43.2999992370605,0,0
"2","1","fast","beh",95,27,45.7000007629395,0,1
"2","1","fast","beh",96,15,47.5999984741211,1,1
"2","1","fast","beh",97,18,46.5,0,0
"2","1","fast","beh",98,12,44.7999992370605,0,0
"2","1","fast","beh",99,9,44.5999984741211,0,1
"2","1","fast","beh",100,NA,NA,NA,NA
"3","1","fast","beh",1,27,35,1,1
"3","1","fast","beh",2,12,38.7999992370605,1,1
"3","1","fast","beh",3,12,34.2999992370605,1,0
"3","1","fast","beh",4,24,36.4000015258789,1,0
"3","1","fast","beh",5,27,30.3999996185303,0,0
"3","1","fast","beh",6,24,34.0999984741211,0,0
"3","1","fast","beh",7,15,30.7999992370605,1,0
"3","1","fast","beh",8,0,32.9000015258789,1,0
"3","1","fast","beh",9,27,45.7999992370605,1,1
"3","1","fast","beh",10,12,30.7999992370605,1,0
"3","1","fast","beh",11,18,31.8999996185303,1,0
"3","1","fast","beh",12,27,32.4000015258789,0,1
"3","1","fast","beh",13,21,32.7999992370605,1,1
"3","1","fast","beh",14,27,39.5,1,1
"3","1","fast","beh",15,27,32.9000015258789,0,0
"3","1","fast","beh",16,27,35.7000007629395,0,1
"3","1","fast","beh",17,24,30.2999992370605,0,0
"3","1","fast","beh",18,27,37.5999984741211,0,1
"3","1","fast","beh",19,27,40.7000007629395,1,1
"3","1","fast","beh",20,24,32.2999992370605,0,0
"3","1","fast","beh",21,21,31.2999992370605,0,0
"3","1","fast","beh",22,24,34.7999992370605,0,1
"3","1","fast","beh",23,24,35.9000015258789,0,1
"3","1","fast","beh",24,27,39.0999984741211,1,1
"3","1","fast","beh",25,21,34.4000015258789,0,0
"3","1","fast","beh",26,18,30.3999996185303,0,0
"3","1","fast","beh",27,24,36,0,1
"3","1","fast","beh",28,24,32.4000015258789,0,0
"3","1","fast","beh",29,15,32.9000015258789,1,0
"3","1","fast","beh",30,21,33.5,0,1
"3","1","fast","beh",31,27,36.5,1,1
"3","1","fast","beh",32,12,32.0999984741211,1,0
"3","1","fast","beh",33,18,34.7000007629395,0,1
"3","1","fast","beh",34,24,43.4000015258789,1,1
"3","1","fast","beh",35,24,42,1,1
"3","1","fast","beh",36,21,38.2999992370605,1,1
"3","1","fast","beh",37,24,32.5,1,0
"3","1","fast","beh",38,27,39.2999992370605,1,1
"3","1","fast","beh",39,18,36.5999984741211,1,1
"3","1","fast","beh",40,12,32.5,1,0
