"sub","ses","task","datatype","trial_n","quality","threshold","threshold_se","slope","slope_se","response","stim"
28,1,"psi","beh",25,"warm",44.3018760710393,1.65725899720285,0.531075929814034,0.438367592043204,1,46.7999992370605
28,1,"psi","beh",26,"warm",44.0347131915996,1.40671849573135,0.634944174220964,0.393028312106722,1,46.2999992370605
28,1,"psi","beh",27,"warm",44.0402216763822,1.30484521231503,0.690929632302792,0.351300872382251,0,39.7999992370605
28,1,"psi","beh",28,"warm",43.8244812463447,1.11363922295487,0.789881118314442,0.320834744767354,1,45.5
28,1,"psi","beh",29,"warm",44.1621389685993,1.26802596396356,0.64372257993487,0.339531052969582,0,44.9000015258789
28,1,"psi","beh",30,"warm",44.5705585507337,1.51135462322933,0.492249698914035,0.377634804424263,0,45.9000015258789
29,1,"psi","beh",1,"cold",11.3254648427388,8.03486252949281,0.0774596669241484,1.11269404820651,0,15
29,1,"psi","beh",2,"cold",8.87958243791686,7.7672882206704,0.090701020939764,1.12843885830583,0,8.89999961853027
29,1,"psi","beh",3,"cold",7.15540914717577,7.6709568328574,0.108702909204135,1.14507378473691,0,5.19999980926514
29,1,"psi","beh",4,"cold",5.81936505836941,7.45144412130212,0.142937543218457,1.15728955742206,0,3.29999995231628
29,1,"psi","beh",5,"cold",7.03702776274148,7.59291585401836,0.101939211785306,1.13728448035455,1,2.09999990463257
29,1,"psi","beh",6,"cold",5.45037562289187,6.47270979717005,0.206096894900972,1.07800120656018,0,9
29,1,"psi","beh",7,"cold",4.32180851622141,5.57402422003315,0.359270311119798,1.02066068340771,0,4
29,1,"psi","beh",8,"cold",4.19692811222778,6.1902221119458,0.207979233642017,1.01263072722453,0,2
29,1,"psi","beh",9,"cold",3.14705179909253,4.9769377807627,0.351760222313312,0.891335564403359,0,6.69999980926514
29,1,"psi","beh",10,"cold",2.79900517086442,5.19182324439041,0.298504219382945,0.89776932285212,0,1.39999997615814
29,1,"psi","beh",11,"cold",3.10524355481793,5.15728330582099,0.288662377103379,0.879011360504176,1,0.899999976158142
29,1,"psi","beh",12,"cold",2.37370127679109,4.06942489041272,0.431221796108926,0.760119326261636,0,5
29,1,"psi","beh",13,"cold",1.98899130266609,3.83092160952082,0.482347338087428,0.746692850175462,0,1.60000002384186
29,1,"psi","beh",14,"cold",1.85756801273404,4.12557667412934,0.376675396484912,0.750015364462814,0,0.800000011920929
29,1,"psi","beh",15,"cold",1.39238450576315,3.23999467274284,0.50792691544135,0.648441056830783,0,3.40000009536743
29,1,"psi","beh",16,"cold",1.13740443176871,3.01039970889914,0.569138636617026,0.635097848680877,0,1
29,1,"psi","beh",17,"cold",0.882764059659613,2.47650428307229,0.719777565501134,0.582416299003081,0,1.60000002384186
29,1,"psi","beh",18,"cold",0.765522310919621,2.609395464467,0.641013902429044,0.590192534800362,0,0.300000011920929
29,1,"psi","beh",19,"cold",0.56869859612236,2.11720279622082,0.796615482173307,0.539422315236044,0,1.39999997615814
29,1,"psi","beh",20,"cold",0.734355232959967,2.27250613555068,0.690407006689395,0.532682354817462,1,0.400000005960464
29,1,"psi","beh",21,"cold",0.58429687894433,1.8117377438251,0.827579665818706,0.480107915906764,0,1.60000002384186
29,1,"psi","beh",22,"cold",0.487724750790456,1.92149245345372,0.723638719534604,0.476865298082654,0,0.200000002980232
29,1,"psi","beh",23,"cold",0.374743535632307,1.52089757837397,0.843430324185623,0.429841208620153,0,1.5
29,1,"psi","beh",24,"cold",0.651418242437055,2.28236188975916,0.525895512589492,0.483766210150234,1,1.29999995231628
29,1,"psi","beh",25,"cold",0.506642237252962,1.77645268853623,0.606746773757268,0.419604238039994,0,2.29999995231628
29,1,"psi","beh",26,"cold",0.414007677739876,1.39214442609766,0.681583569179364,0.372421143197602,0,2
29,1,"psi","beh",27,"cold",0.667315849897489,2.20106490872046,0.455295993208409,0.447123950017328,1,1.79999995231628
29,1,"psi","beh",28,"cold",0.534918617093879,1.69932063036003,0.514085510596653,0.38132137827214,0,2.90000009536743
29,1,"psi","beh",29,"cold",0.453157694208159,1.32192484669737,0.565224410570967,0.332954378156514,0,2.59999990463257
29,1,"psi","beh",30,"cold",0.694745828004323,2.1625129155382,0.395327652700194,0.423349805578223,1,2.29999995231628
29,1,"psi","beh",31,"cold",0.568729818176382,1.66477292170538,0.440967337715571,0.357147338830412,0,3.5
29,1,"psi","beh",32,"cold",0.492485806975608,1.29621345572471,0.479580114345747,0.308985064600538,0,3.09999990463257
29,1,"psi","beh",33,"cold",0.444068447098958,1.02560100300728,0.513345255620383,0.274791313408183,0,2.79999995231628
29,1,"psi","beh",34,"cold",0.411432088702536,0.827521433577061,0.543764972169364,0.250816506122791,0,2.59999990463257
29,1,"psi","beh",35,"cold",0.520140823777747,1.28252547177683,0.432130715283283,0.294059363576276,1,2.40000009536743
29,1,"psi","beh",36,"cold",0.752922450913685,2.1872712750747,0.312897301318034,0.405376346154162,1,3.20000004768372
29,1,"psi","beh",37,"cold",0.626716456008734,1.6815740015416,0.346074997873831,0.337473819885671,0,4.59999990463257
29,1,"psi","beh",38,"cold",0.552550771919119,1.30981977835541,0.373136972267408,0.287804289333461,0,4.09999990463257
