id,tcold,twarm_25,twarm_50,twarm_75
3,9.4,23.4110736846924,25.7172412872314,28.0379810333252
3,9.5,23.4803924560547,25.7865600585938,28.1072998046875
3,9.6,23.5498027801514,25.8559703826904,28.1767101287842
3,9.7,23.6193084716797,25.9254760742188,28.2462158203125
3,9.8,23.6889057159424,25.9950733184814,28.3158130645752
3,9.9,23.7585945129395,26.0647621154785,28.3855018615723
3,10,23.8283729553223,26.1345405578613,28.4552803039551
3,10.1,23.8982429504395,26.2044105529785,28.5251502990723
3,10.2,23.9682006835938,26.2743682861328,28.5951080322266
3,10.3,24.0382480621338,26.3444156646729,28.6651554107666
3,10.4,24.1083831787109,26.41455078125,28.7352905273438
3,10.5,24.1786041259766,26.4847717285156,28.8055114746094
3,10.6,24.2489109039307,26.5550785064697,28.8758182525635
