SubID,trialN,repetitionN,thresholdProb,gainFract,targetTwarm,targetTcold,StimType,StimDuration,vasType,vasResponse,vasReactionTime
24,48,2,0.5,0.25,30,3.90000009536743,Cold,8.48440000000005,Cold,65.7291666666667,2.51088189997245
24,49,3,0.5,0.5,30,7.90000009536743,Cold,7.18760610000004,Cold,58.9583333333333,2.13029050000478
24,50,3,0.5,0.25,30,3.90000009536743,Cold,8.85058099999992,Cold,22.8125,1.4564182999311
24,51,2,0.75,0.5,44.7000007629395,30,Warm,4.56476980000002,Cold,1.97916666666667,2.83032429998275
24,52,4,0.5,0.5,30,7.90000009536743,Cold,7.21807549999994,Cold,65.4166666666667,0.988530300091952
24,53,1,0.75,0.5,30,2.70000004768372,Cold,9.84514039999999,Cold,45.3125,1.92357620003168
24,54,2,0.5,0.5,45.4000015258789,7.90000009536743,TGI,7.27136899999982,Cold,0,2.57495280005969
24,55,2,0.25,0.5,30,14.5,Cold,4.3767236000001,Cold,62.9166666666667,1.49135200004093
24,56,2,0.5,0.75,46.0999984741211,30,Warm,4.67871300000002,Cold,0.729166666666667,1.81115520000458
24,57,2,0.5,0.25,44.2999992370605,30,Warm,4.06887060000008,Cold,7.08333333333333,2.57139609998558
24,58,3,0.25,0.5,30,14.5,Cold,4.6884055999999,Cold,45.5208333333333,1.29552319995128
24,59,2,0.5,0.75,46.0999984741211,11.8000001907349,TGI,5.45990879999999,Cold,6.66666666666667,1.53122189990245
24,60,3,0.5,0.5,45.4000015258789,7.90000009536743,TGI,7.17133189999981,Cold,5.41666666666667,2.43411530007143
24,61,3,0.25,0.5,44.7000007629395,14.5,TGI,4.63569699999994,Cold,4.47916666666667,1.92307670006994
24,62,3,0.75,0.5,44.7000007629395,30,Warm,4.47073139999998,Cold,0,2.05372099997476
24,63,4,0.5,0.5,45.4000015258789,7.90000009536743,TGI,7.67915019999987,Cold,3.02083333333333,2.86884760006797
24,64,3,0.5,0.75,46.0999984741211,30,Warm,4.72683039999993,Cold,3.4375,2.10306530003436
24,65,3,0.25,0.25,43.5,30,Warm,4.05664990000014,Cold,1.875,1.99706349999178
24,66,3,0.5,0.75,30,11.8000001907349,Cold,5.85384790000012,Cold,32.7083333333333,1.21152580005582
24,67,3,0.75,0.25,44.7000007629395,1.39999997615814,TGI,14.3888597,Cold,0.833333333333333,2.79277990001719
24,68,3,0.25,0.75,45.4000015258789,21.7999992370605,TGI,4.79784710000013,Cold,4.79166666666667,2.24632850009948
24,69,4,0.5,0.75,46.0999984741211,30,Warm,4.9366872999999,Cold,5.52083333333333,2.42107529996429
24,70,1,0.75,0.75,46.2000007629395,30,Warm,4.76873709999995,Cold,7.91666666666667,3.92902019992471
24,71,0,0.5,0.75,46.0999984741211,30,Warm,4.68758900000012,Cold,6.77083333333333,1.76013289997354
24,72,4,0.25,0.75,30,21.7999992370605,Cold,3.33618359999991,Cold,46.4583333333333,2.13638439995702
24,73,4,0.25,0.75,45.4000015258789,21.7999992370605,TGI,4.66676649999999,Cold,1.45833333333333,1.52455299999565
24,74,3,0.5,0.75,46.0999984741211,11.8000001907349,TGI,5.71301730000005,Cold,43.125,1.30407019995619
24,75,4,0.25,0.5,44.7000007629395,14.5,TGI,4.70072759999994,Cold,27.2916666666667,1.94399289996363
24,76,2,0.5,0.75,45.4000015258789,30,Warm,4.67896369999994,Cold,1.25,2.29344719997607
