id,warmT,coldT,burn_yn,cold_warm
5,46.2999992370605,18,1,1
5,45.5999984741211,18,0,1
5,48.7999992370605,21,1,1
5,38.0999984741211,15,1,1
5,46.5999984741211,12,1,1
5,45.9000015258789,27,0,1
5,45.2000007629395,18,1,1
5,37,9,1,1
5,38.5999984741211,18,0,1
5,33.7999992370605,6,1,0
5,39.0999984741211,12,0,1
5,44.9000015258789,18,0,1
5,34.2000007629395,12,0,0
5,42.7000007629395,21,0,1
5,42.7999992370605,15,0,1
5,30.1000003814697,3,1,0
5,38.5999984741211,6,1,1
5,40,12,0,1
5,45.2000007629395,12,1,1
5,41.2000007629395,18,0,1
5,47.7000007629395,15,1,1
5,47.2000007629395,15,1,1
5,46.7000007629395,15,1,1
5,47.9000015258789,21,1,1
5,43,12,0,1
5,44.5,12,1,1
5,46.9000015258789,15,1,1
5,32.7999992370605,9,0,0
5,50,24,1,1
5,36.9000015258789,6,1,0
5,39.9000015258789,12,0,0
5,46.7000007629395,24,1,1
5,46.2999992370605,15,0,1
5,33.7000007629395,6,1,0
5,47.4000015258789,21,1,1
5,44.7000007629395,12,1,1
5,46.5,27,1,1
5,42.0999984741211,9,0,1
5,42.0999984741211,15,0,0
5,39.5,6,1,1
5,46.7000007629395,21,1,1
5,46.5,21,0,1
5,43.2999992370605,24,0,1
5,36.7999992370605,15,0,0
5,45.7000007629395,27,1,1
5,36.5999984741211,15,1,0
5,45.0999984741211,12,1,1
5,49.7000007629395,18,1,1
5,33.7999992370605,12,0,0
5,47.4000015258789,15,1,1
5,42.2000007629395,9,1,1
5,44.5,27,0,1
5,35.2000007629395,3,1,0
5,49.5999984741211,18,1,1
5,49.5,18,1,1
5,38.5,18,0,0
5,33.2999992370605,6,0,0
5,49.5999984741211,18,1,1
5,49.5,18,1,1
5,42.0999984741211,9,0,0
5,34.0999984741211,12,0,0
5,42.4000015258789,9,0,1
5,42.0999984741211,15,0,1
5,31.8999996185303,9,1,0
6,35,27,0,0
6,32.0999984741211,6,0,0
6,48.4000015258789,21,1,1
6,42.0999984741211,15,1,0
6,42.2999992370605,21,0,1
6,37.4000015258789,9,0,0
6,41,15,0,0
6,44.7000007629395,15,1,1
6,45.2999992370605,24,0,1
6,40.5,15,0,0
6,43.7000007629395,18,0,0
6,35.9000015258789,3,1,1
6,42,15,1,1
6,43.7000007629395,18,1,1
6,41.5999984741211,15,1,1
6,34.7000007629395,3,1,1
6,41.2000007629395,9,0,1
6,42.0999984741211,18,0,1
6,32.9000015258789,0,1,1
6,40.7999992370605,15,1,1
6,44.2000007629395,21,1,1
6,49.4000015258789,9,1,1
6,40.5999984741211,18,0,0
6,48.9000015258789,12,1,1
6,34.0999984741211,21,0,1
6,44.4000015258789,9,0,1
6,44.2000007629395,0,1,1
6,48.2999992370605,9,1,1
6,42.2000007629395,18,0,0
6,35.5,21,0,1
6,41.2999992370605,15,1,0
6,41.7000007629395,27,0,1
6,35.2999992370605,18,0,0
6,39.2000007629395,12,0,0
6,33.4000015258789,3,0,0
6,45.2999992370605,9,1,1
6,40.7999992370605,3,1,0
6,30.7000007629395,0,1,0
6,42.5999984741211,24,0,1
6,43.2999992370605,24,0,1
6,43.9000015258789,24,0,0
6,44.7999992370605,18,1,0
6,42.5,9,1,0
6,32.2999992370605,9,0,0
6,46.7000007629395,27,1,1
6,43,24,1,1
6,48.5,27,1,0
6,47.4000015258789,27,1,1
6,45.7000007629395,18,1,0
6,43.5999984741211,27,0,1
6,49,27,1,1
6,42.2999992370605,18,0,0
6,33.2000007629395,3,0,0
6,44.2000007629395,27,0,1
6,43.2000007629395,24,0,0
6,38.2000007629395,9,0,0
6,45.2999992370605,24,1,0
6,30.3999996185303,0,1,0
6,42.7000007629395,15,0,1
6,44,21,0,1
6,44.2000007629395,27,1,1
6,43.5999984741211,27,0,1
6,35.5,9,0,0
6,40,12,0,0
6,40.5,12,0,0
6,37.7000007629395,6,1,0
6,38.9000015258789,9,0,1
6,35.2000007629395,6,1,0
6,38.5,9,0,0
6,35,9,0,0
6,37.2000007629395,12,0,0
6,45.5999984741211,15,1,0
6,40.7000007629395,18,0,0
6,44.4000015258789,27,1,1
6,39.2000007629395,9,0,0
6,47.7999992370605,21,1,1
6,47.2000007629395,21,1,1
6,40.4000015258789,6,1,0
6,41.7000007629395,9,1,1
6,42.5,21,0,0
6,45.2000007629395,18,1,1
6,48,27,1,0
6,39.5,12,1,0
